Country Code;City;Location;Coordinates;Pollutant;Source Name;Unit;Value;Last Updated;Country Label
US;Salem;Woodburn Chemeketa C;45.143141, -122.854708;PM2.5;AirNow;µg/m³;2.6;2023-05-23T04:30:00+05:30;United States
CO;;MED-EXSA - Exito San Antonio - Medellin;6.2493334, -75.5702515;PM10;Medellin;µg/m³;59.0;2019-10-25T01:30:00+05:30;Colombia
CY;Λεμεσός - Κυκλοφοριακός Σταθμός;Limassol - Traffic Station;34.6861111, 33.03555559999995;SO2;Republic of Cyprus Department of Labor Inspection;µg/m³;0.6449241;2025-01-31T14:30:00+05:30;Cyprus
KR;;백마로(마두역);37.65450859999999, 126.7755571;NO2;korea-air;ppm;0.0072;2025-01-28T14:30:00+05:30;Korea, Republic of
KR;;연향동;34.947102, 127.51857500000001;SO2;korea-air;ppm;0.0014;2025-01-28T14:30:00+05:30;Korea, Republic of
MN;Өлгий хот;Өлгий;48.96919444444445, 89.96494444444444;SO2;Tsag-Agaar.gov.mn;µg/m³;101.0;2019-12-31T17:30:00+05:30;Mongolia
US;Jacksonville;Pepsi Place;30.262808, -81.606834;PM2.5;AirNow;µg/m³;12.9;2023-05-31T04:30:00+05:30;United States
US;Moscow;Moscow;46.728199, -116.954597;PM2.5;AirNow;µg/m³;5.0;2023-05-27T05:30:00+05:30;United States
US;Santa Barbara-Santa Maria;Santa Ynez;34.605819, -120.07506;PM2.5;AirNow;µg/m³;11.0;2023-04-13T01:30:00+05:30;United States
US;WASHINGTON;TakomaRec;38.970101, -77.016715;O3;AirNow;ppm;0.048;2023-04-05T00:30:00+05:30;United States
US;Boston-Cambridge-Quincy;LYNN;42.474701, -70.971901;PM2.5;AirNow;µg/m³;4.0;2022-04-27T00:30:00+05:30;United States
RU;;Рогово;55.2139442, 37.0753701;NO2;Mosecom;µg/m³;4.2;2017-09-11T13:30:00+05:30;Russian Federation
SI;Nova Gorica;Nova Gorica;45.955569063014806, 13.652389822931456;PM10;eea;µg/m³;20.5;2024-08-01T12:30:00+05:30;Slovenia
US;CA8 - ARB;Santa Rosa Fire Stat;38.438362, -122.671344;PM2.5;AirNow;µg/m³;1.0;2017-11-19T14:30:00+05:30;United States
US;Columbus;PHNX CITY;32.4678, -85.0839;O3;AirNow;ppm;0.049;2017-11-01T23:30:00+05:30;United States
US;Houston;HRM;29.7647877, -95.1785379;O3;Texas;ppm;0.048;2016-03-06T23:30:00+05:30;United States
ZA;Fezile Dabi;Bongani Mabaso Eco Park;-26.77761, 27.837328;NO2;South Africa;ppm;0.005425;2023-05-31T04:30:00+05:30;South Africa
ZA;Richards Bay;eNseleni;;SO2;Richards Bay;ppm;0.0044;2019-04-04T03:15:00+05:30;South Africa
PE;Tupac Amaru Inca;Pisco - Túpac Amaru Inca;-13.713381000000002, -76.148167;PM10;peru-oefa;µg/m³;-9999.0;2024-07-11T15:10:00+05:30;Peru
PL;;WIOŚ Gołdap-Uzdrowisko;54.328176, 22.332173;PM2.5;GIOS;µg/m³;11.4357;2019-12-14T10:30:00+05:30;Poland
PL;Szczecinek;Szczecinek, ul. Przemysłowa;53.698902, 16.704556;NO2;GIOS;µg/m³;8.2;2025-01-31T14:30:00+05:30;Poland
PL;Tychy;Tychy, ul. Tołstoja;50.099903000000005, 18.990236;NO2;GIOS;µg/m³;14.7;2025-01-31T14:30:00+05:30;Poland
PL;Tychy;Tychy, ul. Tołstoja;50.099903000000005, 18.990236;PM10;GIOS;µg/m³;21.7;2025-01-31T14:30:00+05:30;Poland
PL;Lwówek Śląski;Lwówek Śląski, al. Wojska Polskiego;51.113033, 15.585239;PM2.5;GIOS;µg/m³;7.55125;2024-01-04T15:30:00+05:30;Poland
PT;Lisboa;Quinta do Marquês;38.69750000007551, -9.323333000394149;NO2;eea;µg/m³;10.4;2024-11-30T06:30:00+05:30;Portugal
PT;Rede de Qualidade do Ar do Centro;Coimbra/ Avenida Fernão Magalhães;40.21472199997012, -8.401667000407382;NO2;eea;µg/m³;15.0;2024-11-30T06:30:00+05:30;Portugal
RS;Beograd;Beograd Vračar Dom zdravlja;44.796427, 20.486154;PM10;serbia;µg/m³;22.026833333333;2024-08-01T13:30:00+05:30;Serbia
RS;Obrenovac;Obrenovac-Centar;44.65947800010916, 20.204496000406643;PM2.5;eea;µg/m³;13.55617;2024-08-01T12:30:00+05:30;Serbia
KR;;연천(DMZ);38.129569, 126.973711;PM10;korea-air;µg/m³;28.0;2025-01-28T14:30:00+05:30;Korea, Republic of
US;AVERY;Linville Falls;35.9722, -81.9331;O3;AirNow;ppm;0.042;2019-08-12T20:30:00+05:30;United States
FR;DUNKERQUE;Malo-les-Bains;51.048579999979886, 2.4200400000058053;SO2;eea;µg/m³;0.0;2017-03-28T19:30:00+05:30;France
FR;MONT-DE-MARSAN;MONT-DE-MARSAN - MIDOUZE;43.88897299969277, -0.507028000198241;O3;eea;µg/m³;31.1;2025-01-31T12:30:00+05:30;France
EC;;Tumbaco;-0.21484, -78.40326;PM2.5;Quito REMMAQ;µg/m³;0.0;2021-11-24T21:30:00+05:30;Ecuador
ES;GRANADA;PALACIO CONGRESOS;37.16567999994422, -3.600099999956305;PM2.5;eea;µg/m³;1.23;2025-01-31T12:30:00+05:30;Spain
ES;CANGAS DEL NARCEA;CANGAS DEL NARCEA;43.178799999723445, -6.552699999810602;CO;eea;µg/m³;770.0;2025-01-31T13:30:00+05:30;Spain
ES;CARTAGENA;MOMPEAN;37.60305555012307, -0.9752777696550525;PM2.5;eea;µg/m³;14.97;2024-08-31T02:30:00+05:30;Spain
IN;;Punjabi Bagh, Delhi - DPCC;28.674045000000003, 77.13102300000001;NO2;caaqm;µg/m³;54.7;2022-10-16T19:45:00+05:30;India
IN;;Sector-18, Panipat - HSPCB;29.497973, 76.993331;CO;caaqm;µg/m³;2060.0;2022-10-31T07:15:00+05:30;India
IN;;Patti Mehar, Ambala - HSPCB;30.379589, 76.778328;NO2;caaqm;µg/m³;2.71;2022-10-31T07:15:00+05:30;India
IL;;תחנה:לוזית;31.684659999999997, 34.88179;CO;Israel;ppm;0.6;2019-04-04T02:30:00+05:30;Israel
IN;;Nehru Nagar;26.470308800000005, 80.3251749;PM2.5;CPCB;µg/m³;167.0;2018-02-22T08:45:00+05:30;India
US;Birmingham-Hoover;HOOVER;33.3864, -86.8167;PM2.5;AirNow;µg/m³;15.5;2019-01-02T20:30:00+05:30;United States
US;GBU;GBUAPCD EBAM @ Bridg;38.257517, -119.219298;PM2.5;AirNow;µg/m³;17.0;2018-08-01T11:30:00+05:30;United States
JP;;宇部市琴芝１丁目1-50;33.955556, 131.249722;NO;japan-soramame;ppm;0.0;2024-09-23T12:30:00+05:30;Japan
JP;;加古郡稲美町国岡１－１;34.745556, 134.905;NO;japan-soramame;ppm;0.0;2024-09-23T12:30:00+05:30;Japan
JP;;東田川郡庄内町大字余目字猿田８７;38.843889, 139.906389;NOX;japan-soramame;ppm;0.001;2024-09-23T12:30:00+05:30;Japan
JP;;加古郡播磨町東本荘１－５－３０;34.7125, 134.870556;PM2.5;japan-soramame;µg/m³;8.0;2024-09-23T11:30:00+05:30;Japan
JP;;甲府市国母６－５－１;35.635833, 138.558056;PM2.5;japan-soramame;µg/m³;0.0;2024-09-23T12:30:00+05:30;Japan
JP;;枚方市楠葉並木２－２９－３;34.859722, 135.681944;NOX;japan-soramame;ppm;0.002;2024-09-23T12:30:00+05:30;Japan
JP;;千葉市若葉区千城台北１－４－１;35.628611, 140.183611;NO;japan-soramame;ppm;0.0;2024-09-23T12:30:00+05:30;Japan
JP;;天草市河浦町河浦796-4;32.324167, 130.071667;SO2;japan-soramame;ppm;0.001;2024-09-23T12:30:00+05:30;Japan
JP;;坂井市上新庄２８番２１;36.161944, 136.228611;NO2;japan-soramame;ppm;0.001;2024-09-23T12:30:00+05:30;Japan
JP;;堺市西区浜寺石津町中２－３－２８;34.56, 135.455833;NO2;japan-soramame;ppm;0.004;2024-09-23T12:30:00+05:30;Japan
JP;;郡山市堤下町４ノ４;37.387778, 140.3825;SO2;japan-soramame;ppm;0.001;2024-09-23T12:30:00+05:30;Japan
SE;Östersund;Östersund Rådhusgatan;63.17390899963626, 14.641086000174932;PM2.5;eea;µg/m³;3.0;2024-08-01T11:30:00+05:30;Sweden
TH;;Waengpittiayakhom school 1, Sawang Daen Din, Sakon Nakhon;17.4689566685271, 103.48612609959888;PM10;airgradient;µg/m³;46.625;2024-03-10T00:30:00+05:30;Thailand
